Designator,Footprint,Quantity,Value,LCSC Part #
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",EighthInch_PJ398SM,12,3.5mm_Mono_Switched_SymSmall_0.05,
"SW1, SW2, SW3, SW4",Switch_Toggle_SPDT_SubMini,4,SW_SPDT_MSM,
